order_id,order_date,customer_id,channel,country,items,order_value,discount,is_return
6700829,2025-12-16,40125,store,US,1,19.962525332078894,0.1034043589807025,1
6700830,2025-12-16,40090,partner,GB,7,33.982581076236436,0.09828162612611419,0
6700831,2025-12-16,12274,partner,CA,2,51.0685185345108,0.27928162766573633,0
6700832,2025-12-16,32699,mobile,AU,4,32.106705091109134,0.3592835502998819,0
6700833,2025-12-16,33990,store,US,3,26.58483988434286,0.055201164367343965,0
6700834,2025-12-16,29103,mobile,US,5,89.21364902603885,0.1416142250136332,0
6700835,2025-12-16,15589,web,AU,2,47.290201697016045,0.1899890963761835,0
6700836,2025-12-16,25936,web,US,6,51.22373779339407,0.17675272198501965,0
6700837,2025-12-16,46425,mobile,US,3,95.50261782904258,0.3785093888107923,0
6700838,2025-12-16,21536,web,AU,4,30.046801477034645,0.3081168616940592,0
6700839,2025-12-16,36303,web,US,4,147.40786515443088,0.2473005684984299,0
6700840,2025-12-16,25239,mobile,US,5,117.74645013131956,0.1936093861181613,0
6700841,2025-12-16,17654,web,GB,2,28.666668240488793,0.03325889320075242,0
6700842,2025-12-16,31031,mobile,US,2,84.70485291810994,0.36925446642854076,0
6700843,2025-12-16,2122,mobile,US,2,26.494870220608778,0.12615336833328653,0
6700844,2025-12-16,17077,web,DE,5,23.6646483181566,0.21861162629965303,1
6700845,2025-12-16,24164,web,US,4,44.73081865074128,0.43048695630096273,0
6700846,2025-12-16,36152,web,CA,2,160.81314776993398,0.4529305102470806,0
6700847,2025-12-16,34834,web,GB,4,20.643417472470087,0.04721248754129112,0
6700848,2025-12-16,7451,mobile,CA,2,104.19073895093972,0.10729473212604686,0
6700849,2025-12-16,38285,web,US,3,68.23258766195077,0.2890424863636203,0
6700850,2025-12-16,19893,web,US,2,72.45017939699464,0.27590812497713113,1
6700851,2025-12-16,6563,partner,US,3,176.1618482315021,0.07040403668583908,0
6700852,2025-12-16,5474,mobile,US,3,117.01189059080653,0.04539399404069176,0
6700853,2025-12-16,33819,web,US,8,29.124799314323894,0.5095279661241667,0
6700854,2025-12-16,25656,web,US,4,28.729233313723604,0.35079475567061624,0
6700855,2025-12-16,49439,web,US,1,22.30458754518006,0.29996332622631194,0
6700856,2025-12-16,47155,mobile,US,6,48.14997743177325,0.2358003320341429,0
6700857,2025-12-16,44272,mobile,CA,3,54.1090026538343,0.10742768532237854,1
6700858,2025-12-16,13838,mobile,US,4,88.15195015858356,0.0657057216952071,0
6700859,2025-12-16,11931,partner,GB,3,42.993941493682605,0.17331005733306182,0
6700860,2025-12-16,8752,partner,US,4,47.66377182203191,0.13555208702430044,0
6700861,2025-12-16,10172,mobile,GB,8,53.2673805353302,0.26923721564749725,0
6700862,2025-12-16,14620,web,GB,3,32.46826565374431,0.24090957135330526,0
6700863,2025-12-16,43569,store,US,2,34.73596987967877,0.2828660135212764,0
6700864,2025-12-16,31150,mobile,AU,8,20.31762037955998,0.267305566267526,0
6700865,2025-12-16,13319,web,AU,5,15.020708311459927,0.19857983023306214,0
6700866,2025-12-16,35195,web,US,1,19.791954574121654,0.1441746236006449,0
6700867,2025-12-16,32831,mobile,US,4,9.388703033294169,0.09730502320738835,0
6700868,2025-12-16,45704,mobile,US,3,30.938577151050804,0.34931595787636244,0
6700869,2025-12-16,5733,mobile,US,2,11.71131747169354,0.043526338256505724,0
6700870,2025-12-16,34112,mobile,US,2,25.08351096306278,0.0393246974827961,0
6700871,2025-12-16,7617,mobile,DE,3,34.32201085737381,0.28625390157153074,0
6700872,2025-12-16,47720,web,DE,3,16.47731294273707,0.01645819080872671,0
6700873,2025-12-16,35682,mobile,US,3,39.46524139473212,0.13561723498325576,0
6700874,2025-12-16,1885,mobile,US,3,66.12809576737023,0.26259740431986095,0
6700875,2025-12-16,37142,web,GB,4,30.026726573900813,0.35059093164823774,0
6700876,2025-12-16,32616,partner,US,7,49.135481554212966,0.2563713481955068,0
6700877,2025-12-16,5820,store,DE,2,24.046259728494526,0.2522578255538622,0
6700878,2025-12-16,21560,web,US,4,31.190081011393517,0.24969257292132296,1
6700879,2025-12-16,38465,mobile,US,5,51.13846097454927,0.1917314138507279,0
6700880,2025-12-16,9408,web,CA,1,27.091985895928755,0.15709289998540013,0
6700881,2025-12-16,16293,mobile,US,3,55.258090621127494,0.062152212060351514,0
6700882,2025-12-16,43072,store,GB,5,35.47936393871553,0.2513131015292753,0
6700883,2025-12-16,266,mobile,US,2,65.33929803513172,0.22627684065132572,0
6700884,2025-12-16,48485,partner,US,4,24.022289958653985,0.15952292934742573,0
6700885,2025-12-16,37213,web,GB,3,47.58884091683883,0.310277779940858,0
6700886,2025-12-16,16282,web,US,4,41.89949339500855,0.057024998543585274,1
6700887,2025-12-16,24398,store,AU,2,98.84699786683136,0.19327491330855687,0
6700888,2025-12-16,29044,mobile,GB,3,35.453027539965674,0.15494728609905947,0
6700889,2025-12-16,20938,store,US,4,28.229671544536018,0.21530220566053382,0
6700890,2025-12-16,805,web,DE,4,55.95697529535601,0.09170314645682305,0
6700891,2025-12-16,36985,mobile,US,3,178.35044129686003,0.3931346914582321,0
6700892,2025-12-16,45164,mobile,US,2,81.77873760419175,0.0922857941522528,0
6700893,2025-12-16,10984,web,US,3,92.19298460174437,0.1178156700169257,0
6700894,2025-12-16,24890,web,US,4,95.16211006255685,0.10920541364563974,0
6700895,2025-12-16,49305,web,US,3,18.615339232969173,0.16936520860750012,1
6700896,2025-12-16,44843,web,US,2,30.476018583785276,0.24395342046263274,0
6700897,2025-12-16,38286,web,GB,5,25.06051051200106,0.35497408504055167,0
6700898,2025-12-16,47237,mobile,US,4,69.92961708045758,0.12070292890438944,0
6700899,2025-12-16,43514,mobile,US,3,72.69923231166376,0.06336517795358827,1
6700900,2025-12-16,14197,partner,US,2,18.777803162400186,0.040678015715657184,0
6700901,2025-12-16,31300,partner,US,4,63.78237765230432,0.11989340444011584,0
6700902,2025-12-16,41185,mobile,CA,3,26.341668064431634,0.08754930936225559,0
6700903,2025-12-16,16633,web,AU,5,23.433510045897048,0.14312857736223053,0
6700904,2025-12-16,46855,web,US,6,80.19990904497111,0.04845203828110564,0
6700905,2025-12-16,30384,mobile,US,3,43.2888841844003,0.056010687994159855,0
